track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
33bURv895AN4FkBvgFo2dx,0.624,0.647,3,-4.68,0,0.0335,0.0169,0.0038,0.221,0.379,136.022,4
33SNO8AaciGbNaQFkxvPrW,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,4
5Lbsc65org0b85kNsPkluY,0.554,0.842,5,-4.113,1,0.0397,0.287,0.0,0.106,0.348,114.036,4
6VzcQuzTNTMFnJ6rBSaLH9,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4
1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4
1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,4
5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,4
6qj02zSeEJGWZ4c0dn5QzJ,0.417,0.202,0,-10.976,1,0.0357,0.935,0.0,0.108,0.323,118.029,4
7uzmGiiJyRfuViKKK3lVmR,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,4
5TVirkSwFEXF1nLJEebe2I,0.666,0.677,2,-5.743,1,0.0326,0.214,0.0,0.0979,0.178,100.014,4
2JuIs3XJlYPy8vBO66CEkJ,0.694,0.389,8,-5.41,1,0.0706,0.3,0.0,0.158,0.409,90.984,4
6pmZMP2ET1OJi5rKfLO8jD,0.651,0.654,1,-5.481,1,0.0466,0.385,0.0,0.181,0.539,141.975,4
6LVsIWAAQwGjHMv7SOQjnY,0.66,0.616,9,-4.753,1,0.0333,0.523,0.0,0.391,0.536,138.942,4
6l0knFRwTeQgJ2yHHqwKmt,0.711,0.412,9,-6.827,1,0.0445,0.184,0.0,0.0546,0.186,130.013,4
3PRqiN41BIPkeai16CWjqy,0.618,0.47,0,-7.379,1,0.0271,0.0169,0.0,0.111,0.228,135.034,4
4dORWJfLHYnXkB5PeR4s5b,0.532,0.227,7,-12.184,1,0.0416,0.776,7.56e-06,0.086,0.107,83.57,4
2MOoIbJWIYikwIXjBDe26i,0.406,0.408,3,-9.419,1,0.053,0.771,7.88e-06,0.394,0.525,79.705,4
