id,name,artist,album,release_date,duration_ms,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster_label,split,would_add_to_playlist
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),11/17/14,226600,86,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4,2,train,1
32lm3769IRfcnrQV11LO4E,Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),1/1/14,243413,66,32lm3769IRfcnrQV11LO4E,0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,4,3,train,1
0Kt035u0yJBkOnM1BYPpI6,Culpa al Corazón,Prince Royce,FIVE (Deluxe Edition),2/24/17,222080,54,0Kt035u0yJBkOnM1BYPpI6,0.839,0.649,0,-6.121,1,0.0372,0.465,0,0.0973,0.904,122.99,4,3,train,0
4IACOiO4fczuCkYFdYxDGu,Six Degrees of Separation,The Script,#3,9/10/12,232253,40,4IACOiO4fczuCkYFdYxDGu,0.517,0.828,4,-4.223,1,0.0493,0.156,0,0.901,0.516,147.956,4,3,train,1
5tgyHc2LLF0BI2udBTMFJz,The Burning Bush,Hans Zimmer,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),2/11/98,436666,47,5tgyHc2LLF0BI2udBTMFJz,0.0912,0.0583,9,-24.011,0,0.0382,0.848,0.877,0.117,0.0367,86.432,5,5,train,0
3hhbDnFUb2bicI2df6VurK,River,Leon Bridges,Coming Home (Deluxe),6/23/15,240200,72,3hhbDnFUb2bicI2df6VurK,0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4,2,train,1
1zU8j1x3yi9xalMF96pzKp,Dear John (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),7/7/23,405906,67,1zU8j1x3yi9xalMF96pzKp,0.379,0.468,4,-5.07,1,0.0298,0.0327,0,0.158,0.115,119.447,3,2,train,0
5odlY52u43F5BjByhxg7wg,golden hour,JVKE,this is what ____ feels like (Vol. 1-4),9/23/22,209259,77,5odlY52u43F5BjByhxg7wg,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3,0,train,0
3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),Taylor Swift,Speak Now (Taylor's Version),7/7/23,261230,69,3MytWN8L7shNYzGl4tAKRp,0.605,0.769,5,-2.413,1,0.032,0.0241,0,0.0936,0.366,114.921,4,3,train,0
1LNrPxRlSkIROZIZ4ldKoH,Deep Breaths,Austin Farwell,Deep Breaths,3/8/22,138905,52,1LNrPxRlSkIROZIZ4ldKoH,0.295,0.0433,4,-25.464,1,0.0373,0.976,0.905,0.0992,0.0523,137.592,4,5,train,0
5Ir3dOzPQ9Q30dC45J6QzH,save your breath,JVKE,this is what ____ feels like (Vol. 1-4),9/23/22,165964,48,5Ir3dOzPQ9Q30dC45J6QzH,0.483,0.491,2,-5.389,1,0.0694,0.695,0.000555,0.128,0.4,111.956,4,0,train,1
5iscL6Ehw0Ch3B5Rs0KDP1,Clouds,Before You Exit,Clouds,12/14/16,271846,47,5iscL6Ehw0Ch3B5Rs0KDP1,0.391,0.175,6,-13.881,1,0.0353,0.922,2.47e-06,0.0896,0.259,78.805,3,0,train,1
7HZKksFR5Qsr4XPHAkub32,Millionaires,The Script,#3,9/10/12,189466,29,7HZKksFR5Qsr4XPHAkub32,0.402,0.791,11,-3.804,1,0.0434,0.169,0,0.167,0.493,186.06,4,3,train,0
2EBHPEJWmYj4W1HV3l0VZ6,Star Wars (Epic Main Theme),Samuel Kim,Star Wars: The Rise of Skywalker Tribute,10/25/19,213463,0,2EBHPEJWmYj4W1HV3l0VZ6,0.278,0.509,7,-8.573,1,0.0374,0.753,0.96,0.129,0.0852,91.773,3,5,train,0
4uHs0TfECKllxN8zeLWqJu,Gol,Cali Y El Dandee,3 A.M.,1/1/12,222680,51,4uHs0TfECKllxN8zeLWqJu,0.696,0.746,1,-4.74,1,0.0566,0.159,0,0.168,0.513,126.088,4,3,train,0
6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3/29/19,291796,79,6CcJMwBtXByIz4zQLzFkKc,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4,2,train,1
7I5WT7DtpwSAhEeDLpZEfm,All 4 Nothing (I'm So In Love),Lauv,All 4 Nothing,8/5/22,183014,62,7I5WT7DtpwSAhEeDLpZEfm,0.72,0.819,1,-4.588,1,0.0362,0.0411,0,0.0606,0.898,131.99,4,3,train,1
2prqm9sPLj10B4Wg0wE5x9,BLUE,Billie Eilish,HIT ME HARD AND SOFT,5/17/24,343120,84,2prqm9sPLj10B4Wg0wE5x9,0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,4,2,train,0
0A1JLUlkZkp2EFrosoNQi0,Labyrinth,Taylor Swift,Midnights,10/21/22,247962,69,0A1JLUlkZkp2EFrosoNQi0,0.48,0.295,0,-15.512,1,0.0384,0.797,0.333,0.12,0.132,110.018,4,0,train,1
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,5/17/24,179586,88,629DixmZGHc7ILtEntuiWE,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4,1,train,0
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,7/30/21,298899,82,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,0,train,1
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,Lover,8/23/19,221306,85,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,0,train,1
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],10/27/23,195700,59,1ULabO0PEsdJekqVH6G10G,0.572,0.807,0,-5.348,1,0.0574,0.0846,0,0.071,0.626,160.015,4,3,train,0
2jz0DAnooOMwtuzboHP3VE,Nothing I've Ever Known,Bryan Adams,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),5/4/02,232133,45,2jz0DAnooOMwtuzboHP3VE,0.673,0.241,8,-14.259,1,0.0371,0.744,0.000108,0.0991,0.135,121.962,4,0,train,1
6CoKNa67qyFJmLdSz4DOI8,Nathan (still breathing),Fred again..,Actual Life 3 (January 1 - September 9 2022),10/28/22,163996,54,6CoKNa67qyFJmLdSz4DOI8,0.616,0.522,1,-8.544,1,0.0687,0.816,0.00249,0.219,0.165,97.977,4,0,train,1
4q0crFErlOEybi84JzBqTp,Yoü And I,Ben Platt,Yoü And I,6/25/21,282615,34,4q0crFErlOEybi84JzBqTp,0.555,0.331,0,-8.622,1,0.0354,0.434,0,0.117,0.255,124.536,4,2,train,1
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],10/27/23,212600,60,4WUepByoeqcedHoYhSNHRt,0.76,0.602,7,-4.871,1,0.0316,0.00661,0.000133,0.325,0.685,116.989,4,3,train,0
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,1989,10/27/14,231826,69,1p80LdxRV74UKvL8gnD7ky,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,4,3,train,0
1NnBOnFPFdYJdauawQt5bN,Save the Last Dance for Me,Michael Bublé,It's Time,2/7/05,218613,54,1NnBOnFPFdYJdauawQt5bN,0.745,0.45,4,-9.121,1,0.0354,0.288,0,0.0538,0.807,133.952,4,3,train,1
3AAwJ043uT1wXSKDtGyuxF,Misty Mountains,Richard Armitage,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack),12/11/12,103024,67,3AAwJ043uT1wXSKDtGyuxF,0.195,0.0111,7,-31.641,0,0.0337,0.845,0.000881,0.112,0.3,83.735,1,4,train,1
41PiyIwNrzoLn598y2glGY,Save You Tonight,One Direction,Up All Night,5/25/12,205920,52,41PiyIwNrzoLn598y2glGY,0.602,0.871,2,-4.208,0,0.0622,0.00528,0,0.288,0.495,128.057,4,1,train,1
1YlCqvmX9P8XlAKPyHyGw1,You're Nobody till Somebody Loves You,Michael Bublé,Crazy Love,10/6/09,187400,37,1YlCqvmX9P8XlAKPyHyGw1,0.412,0.394,5,-6.341,1,0.0283,0.127,0,0.0833,0.359,68.37,4,0,train,1
34IQaMgUdIciIpNWN5CUbl,In The Wee Small Hours Of The Morning,Frank Sinatra,Ultimate Sinatra,4/17/15,179000,36,34IQaMgUdIciIpNWN5CUbl,0.177,0.105,0,-14.264,1,0.0355,0.875,0.000526,0.0986,0.0876,68.941,5,0,train,0
5i04Jy87RLxoZszJqY3QAN,Cry Me a River,Michael Bublé,Crazy Love,10/6/09,254746,51,5i04Jy87RLxoZszJqY3QAN,0.458,0.483,10,-7.909,1,0.0366,0.624,5.62e-06,0.0754,0.513,104.823,3,0,train,1
0HMjXBAZmSYOTTi33WpMso,History,One Direction,Made In The A.M. - Deluxe Edition,11/13/15,187426,69,0HMjXBAZmSYOTTi33WpMso,0.655,0.697,11,-4.421,1,0.0493,0.0359,0,0.0646,0.802,86.704,4,3,train,1
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,12/7/12,233478,87,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4,3,train,1
3t85LNwaXR96o6el8CV99C,Intro,Benson Boone,Fireworks & Rollerblades,4/5/24,62287,39,3t85LNwaXR96o6el8CV99C,0.346,0.228,9,-9.709,1,0.0362,0.868,0,0.188,0.224,59.722,4,0,train,1
4SFNe716eUbgX1XvGCTBu7,De Selby (Part 2),Hozier,De Selby (Part 2),7/21/23,227826,29,4SFNe716eUbgX1XvGCTBu7,0.601,0.86,6,-5.374,0,0.0653,0.08,0.000369,0.189,0.65,161.96,4,1,train,1
2UW59tk0OratchGvwN2uRr,"A Doom With a View - from ""Spider-Man: No Way Home"" Soundtrack",Michael Giacchino,Spider-Man: No Way Home (Original Motion Picture Soundtrack),12/17/21,120893,28,2UW59tk0OratchGvwN2uRr,0.0812,0.0226,0,-32.037,0,0.0412,0.971,0.921,0.119,0.0394,82.037,4,5,train,1
1VrUu8hMTMslRSjsDpSJKc,RE-BYE,AKMU,SPRING,5/4/16,188716,0,1VrUu8hMTMslRSjsDpSJKc,0.801,0.608,2,-5.474,0,0.0663,0.476,0,0.13,0.922,127.958,4,1,train,0
2JuIs3XJlYPy8vBO66CEkJ,Star,Bazzi,COSMIC,4/12/18,169872,50,2JuIs3XJlYPy8vBO66CEkJ,0.694,0.389,8,-5.41,1,0.0706,0.3,0,0.158,0.409,90.984,4,3,train,1
608R6FvRtAqf2dvgKMzebP,I Want to Write You a Song,One Direction,Made In The A.M. - Deluxe Edition,11/13/15,179013,56,608R6FvRtAqf2dvgKMzebP,0.714,0.443,5,-7.638,1,0.0256,0.779,0.000109,0.144,0.463,106.04,4,0,train,0
1Mv9pebAYnZz3VSKzcMFFM,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Glenn Close,Disney's Greatest Volume 2,1/1/01,97653,34,1Mv9pebAYnZz3VSKzcMFFM,0.378,0.0956,9,-21.07,1,0.0395,0.861,0,0.205,0.321,101.023,3,0,train,1
4QIwYqmwtr0hfJktadACK7,A Bird Without Wings,Celtic Thunder,The Show Act Two,2008,240000,0,4QIwYqmwtr0hfJktadACK7,0.455,0.278,9,-8.883,1,0.0289,0.883,0,0.114,0.207,114.074,4,0,train,1
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,Please Please Please,6/6/24,186365,93,5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4,3,train,0
66uhlklxdGRFlUftJf8JFc,Slow It Down,Benson Boone,Fireworks & Rollerblades,4/5/24,161831,40,66uhlklxdGRFlUftJf8JFc,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,4,3,train,1
