id,name,artist,album,release_date,duration_ms,popularity
33bURv895AN4FkBvgFo2dx,Woman,Harry Styles,Harry Styles,2017-05-12,278800,62
33SNO8AaciGbNaQFkxvPrW,Kiwi,Harry Styles,Harry Styles,2017-05-12,176386,68
5Lbsc65org0b85kNsPkluY,Only Angel,Harry Styles,Harry Styles,2017-05-12,291080,62
6VzcQuzTNTMFnJ6rBSaLH9,Fine Line,Harry Styles,Fine Line,2019-12-13,377960,76
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,Fine Line,2019-12-13,240133,79
1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,Harry's House,2022-05-20,177954,77
5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,Harry Styles,Harry's House,2022-05-20,193813,69
6qj02zSeEJGWZ4c0dn5QzJ,Boyfriends,Harry Styles,Harry's House,2022-05-20,194543,63
7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,COSMIC,2018-04-12,131064,71
5TVirkSwFEXF1nLJEebe2I,Beautiful,Bazzi,COSMIC,2018-04-12,178242,62
2JuIs3XJlYPy8vBO66CEkJ,Star,Bazzi,COSMIC,2018-04-12,169872,50
6pmZMP2ET1OJi5rKfLO8jD,3:15,Bazzi,COSMIC,2018-04-12,167018,61
6LVsIWAAQwGjHMv7SOQjnY,BRB,Bazzi,COSMIC,2018-04-12,160581,42
6l0knFRwTeQgJ2yHHqwKmt,Cold,Boy In Space,Cold,2019-08-08,203538,52
3PRqiN41BIPkeai16CWjqy,7UP,Boy In Space,7UP,2019-05-30,203554,48
4dORWJfLHYnXkB5PeR4s5b,For Now,Lauv,~how i'm feeling~,2020-03-06,189240,44
2MOoIbJWIYikwIXjBDe26i,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2018-05-31,204712,68
3aUD2nXnCYiGd9V1UhfyRz,Stranger,Lauv,All 4 Nothing,2022-08-05,164688,52
0nRuVPZx2iA3KWR4xSzryl,TALK ME DOWN,Troye Sivan,Blue Neighbourhood (Deluxe),2015-12-04,237464,45
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan,Angel Baby,2021-09-09,220779,71
3S8jK1mGzQi24ilFb45DAZ,Lonely (with benny blanco),Justin Bieber,Justice,2021-03-19,149189,73
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,2012-12-07,213826,88
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2012-12-07,233478,87
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,217866,83
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,220734,84
22PMfvdz35fFKYnJyMn077,Marry You,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,230192,74
55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,Unorthodox Jukebox,2012-12-07,178560,80
3G5iN5QBqMeXx3uZPy8tgB,Young Girls,Bruno Mars,Unorthodox Jukebox,2012-12-07,228720,66
0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,Bruno Mars,24K Magic,2016-11-17,281826,69
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,24K Magic,2016-11-17,261240,79
0mBKv9DkYfQHjdMcw2jdyI,Chunky,Bruno Mars,24K Magic,2016-11-17,186973,69
1I6pKIyaBp4OebTGLJpCCC,Perm,Bruno Mars,24K Magic,2016-11-17,210053,64
5MMLS3xm12D7N26xlfFApr,Runaway Baby,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,148448,70
0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,Bruno Mars,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),2011-11-04,257720,71
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,2015-01-12,269666,82
2K6vUau7bnZUamjbRSOOvJ,777,Bruno Mars,An Evening With Silk Sonic,2021-11-12,165000,59
4AwJSk491AvHk2AAJReGzZ,Let Me Go,Daniel Caesar,Let Me Go,2023-02-10,216524,54
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,Freudian,2017-08-25,209831,85
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Starboy,2016-11-25,230453,88
6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,291796,79
042Sl6Mn83JHyLEqdK7uI0,Your Power,Billie Eilish,Happier Than Ever,2021-07-30,245896,72
77u89jbqM9WGbLzveay3rq,A Goose's Dream,인순이,A Goose's Dream,2007-01-29,342125,21
5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,SOUR,2021-05-21,242013,83
5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,SOUR,2021-05-21,229226,84
5JCoSi02qi3jJeHdZXMmR8,favorite crime,Olivia Rodrigo,SOUR,2021-05-21,152666,82
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,SOUR,2021-05-21,175933,82
3UoULw70kMsiVXxW0L3A33,pov,Ariana Grande,Positions,2020-10-30,201882,71
2afCBiru10AFckfOa49wIa,You & I,One Direction,Midnight Memories (Deluxe),2013-11-25,237933,74
1dQQ2QlnvXUehsRUrukKmf,Right Now,One Direction,Midnight Memories (Deluxe),2013-11-25,200400,75
23eQyAz9tzvrKsG0kAnrja,Change My Mind,One Direction,Take Me Home (Expanded Edition),2012-11-12,212893,54
3lnjFENd7rHxPYM9b964Md,"C'mon, C'mon",One Direction,Take Me Home (Expanded Edition),2012-11-12,164680,58
3jJ5NJ3aNWvV70Rd7hgZIH,Gotta Be You,One Direction,Up All Night,2012-05-25,244506,60
2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,One Direction,FOUR (Deluxe),2014-11-17,228133,78
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,Midnight Memories (Deluxe),2013-11-25,200106,74
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),2014-11-17,226600,86
6nIE1oCE4udqMGv3bqVNVb,Half a Heart,One Direction,Midnight Memories (Deluxe),2013-11-25,188546,59
1hZk9dktp4yRFTm0TrycuH,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,Native,2014-01-01,214813,59
32HwMdkZuUmHg9uznhs9xM,Loved You First,One Direction,Take Me Home (Expanded Edition),2012-11-12,184306,54
4SRYGZsbHrmH7E9xMVz4Wm,Nobody Compares,One Direction,Take Me Home (Expanded Edition),2012-11-12,211626,56
1NhPKVLsHhFUHIOZ32QnS2,Secrets,OneRepublic,Waking Up,2009-01-01,224693,74
7D49Iig0avHre9RFSUMkd2,I Lived,OneRepublic,Native,2014-01-01,234546,60
0c3yfC8zMRJGvmqphczhZb,Nothing,The Script,Science & Faith,2011-01-18,272213,51
3nqqDo8CcCLke3ZoTgiOKf,The Man Who Can't Be Moved,The Script,The Script,2008-07-14,241373,81
285hMzLhJwHVLe9QT9qilk,Breakeven,The Script,The Script,2008-07-14,261426,78
4IACOiO4fczuCkYFdYxDGu,Six Degrees of Separation,The Script,#3,2012-09-10,232253,40
7HZKksFR5Qsr4XPHAkub32,Millionaires,The Script,#3,2012-09-10,189466,29
1gXBi2I04CLJkTQnhNfEJT,Weight in Gold,Gallant,Ology,2016-04-06,203813,46
1yf97yL1ll8FYXC27c9VTw,Trees,Twenty One Pilots,Vessel,2013-01-08,267386,60
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,298899,82
43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,196077,83
73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,No Time To Die,2020-02-13,242265,74
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,Shawn Mendes (Deluxe),2019-06-19,190799,79
138oQeapLds5IeJrdRfeUd,Intro,Shawn Mendes,Wonder,2020-12-04,62422,43
5ld8E3DVBXCCWQ54yrkWVp,305,Shawn Mendes,Wonder,2020-12-04,189072,54
6ZuahEctZD6w75peme58hm,Wonder,Shawn Mendes,Wonder,2020-12-04,172692,68
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,80
3AMQKTsIR0ukMOXvPkwaKz,Set Me Free,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,242733,50
61SwOvGpjoANrBOVgBZvMi,SHE SAID HE SAID SHE SAID,Joshua Bassett,SHE SAID HE SAID SHE SAID,2022-10-13,157325,44
77Gfhrr1Uh9Pv57MUUmVuY,Secret,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,192413,50
0JU7KoyKSFgY1zJV2ex6Ee,Feel Something,Joshua Bassett,Feel Something,2021-05-07,163866,44
5qELFdy1PLLinCg5462HES,Finally Free,Joshua Bassett,"High School Musical: The Musical: The Series Season 3 (Episode 1) [From ""High School Musical: The Musical: The Series (Season 3)""]",2022-07-27,197972,42
1mEM6KkVMwpuAuqusCMD6m,Crisis,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,189093,45
3rrv1sQftMszpL7vxLSvX2,Berenstein,The Band CAMINO,Berenstein,2017-12-15,276685,43
48f7LOHWir3VQoO06yoc95,Song About You,The Band CAMINO,The Band CAMINO,2021-09-10,158948,48
7baT4xndV4HMR4fwOdl8vw,Imposter,Grant Ganzer,Imposter,2022-08-12,121463,26
5Ir3dOzPQ9Q30dC45J6QzH,save your breath,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,165964,48
